,Id,MonitoringLocationID,MonitoringLocationName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ResultSampleFraction,ResultValue,ResultUnit
52305,227497933,0123981,KOKSILAH RIVER AT HWY #1,2008-10-20,12:10:00,2008-10-20,Unfiltered,0.1,mg/L
51420,226229214,0123981,KOKSILAH RIVER AT HWY #1,2008-10-20,12:10:00,2008-10-20,Filtered,0.06,mg/L
51918,226959528,0123981,KOKSILAH RIVER AT HWY #1,2008-10-27,12:50:00,2008-10-27,Unfiltered,0.07,mg/L
53355,229015401,0123981,KOKSILAH RIVER AT HWY #1,2008-10-27,12:50:00,2008-10-27,Filtered,0.06,mg/L
54240,230299512,0123981,KOKSILAH RIVER AT HWY #1,2008-11-03,12:10:00,2008-11-03,Unfiltered,0.12,mg/L
55959,232626534,0123981,KOKSILAH RIVER AT HWY #1,2008-11-03,12:10:00,2008-11-03,Filtered,0.11,mg/L
52693,228112111,0123981,KOKSILAH RIVER AT HWY #1,2008-11-12,12:10:00,2008-11-12,Filtered,0.11,mg/L
54745,230966673,0123981,KOKSILAH RIVER AT HWY #1,2008-11-12,12:00:00,2008-11-12,Filtered,0.13,mg/L
54745,230966673,0123981,KOKSILAH RIVER AT HWY #1,2008-11-12,12:00:00,2008-11-12,Filtered,0.13,mg/L
55910,232549466,0123981,KOKSILAH RIVER AT HWY #1,2008-11-12,12:00:00,2008-11-12,Unfiltered,0.09,mg/L
55910,232549466,0123981,KOKSILAH RIVER AT HWY #1,2008-11-12,12:00:00,2008-11-12,Unfiltered,0.09,mg/L
56530,233368159,0123981,KOKSILAH RIVER AT HWY #1,2008-11-12,12:10:00,2008-11-12,Unfiltered,0.11,mg/L
21036,186737523,0124785,MC-M2,1983-10-27,11:00:00,1983-10-27,Unfiltered,0.01,mg/L
26413,187601391,0124785,MC-M2,1983-10-27,15:15:00,1983-10-27,Unfiltered,0.04,mg/L
14421,185668728,0130080,BUTTLE LK #8 @ GOLD R BRDG.WESTMIN (PE-06858),1983-06-29,14:20:00,1983-06-29,Unfiltered,0.05,mg/L
17704,186201741,0130080,BUTTLE LK #8 @ GOLD R BRDG.WESTMIN (PE-06858),1983-06-29,14:30:00,1983-06-29,Unfiltered,0.03,mg/L
8109,184607846,0130081,BUTTLE LK #1 1 KM N OF THELWOOD CR,1983-08-22,00:00:00,1983-08-22,Unfiltered,0.13,mg/L
15656,185867545,0130081,BUTTLE LK #1 1 KM N OF THELWOOD CR,1983-08-22,00:00:00,1983-08-22,Unfiltered,0.03,mg/L
10513,185021826,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-04-16,00:00:00,1981-04-16,Unfiltered,0.01,mg/L
13852,185574228,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-04-16,00:00:00,1981-04-16,Unfiltered,0.04,mg/L
47157,191017331,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-05-13,09:00:00,1981-05-13,Unfiltered,0.02,mg/L
19029,186411597,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-05-13,09:00:00,1981-05-13,Unfiltered,0.02,mg/L
21225,186765422,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-08-12,00:00:00,1981-08-12,Unfiltered,0.07,mg/L
43339,190404673,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-08-12,00:00:00,1981-08-12,Unfiltered,0.02,mg/L
36878,189341856,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-09-08,00:00:00,1981-09-08,Unfiltered,0.03,mg/L
19917,186566626,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-09-08,00:00:00,1981-09-08,Unfiltered,0.06,mg/L
14218,185633509,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-10-21,00:00:00,1981-10-21,Unfiltered,0.06,mg/L
31350,188424474,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-10-21,00:00:00,1981-10-21,Unfiltered,0.03,mg/L
4766,184066345,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-11-18,00:00:00,1981-11-18,Unfiltered,0.03,mg/L
30599,188300283,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1981-11-18,00:00:00,1981-11-18,Unfiltered,0.13,mg/L
30125,188219178,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1984-05-01,13:00:00,1984-05-01,Unfiltered,0.18,mg/L
36367,189261311,0130082,BUTTLE LK #2 3KM N OF THELWOOD CRK (PE-06858),1984-05-01,13:00:00,1984-05-01,Unfiltered,0.07,mg/L
10901,185086487,0130083,BUTTLE LK #3 MID LAKE OFF HENSHAW CR,1983-04-26,11:20:00,1983-04-26,Unfiltered,0.09,mg/L
26978,187695539,0130083,BUTTLE LK #3 MID LAKE OFF HENSHAW CR,1983-04-26,11:30:00,1983-04-26,Unfiltered,0.09,mg/L
26978,187695539,0130083,BUTTLE LK #3 MID LAKE OFF HENSHAW CR,1983-04-26,11:30:00,1983-04-26,Unfiltered,0.09,mg/L
47257,191030999,0130083,BUTTLE LK #3 MID LAKE OFF HENSHAW CR,1983-04-26,11:10:00,1983-04-26,Unfiltered,0.11,mg/L
7000,184422282,0130083,BUTTLE LK #3 MID LAKE OFF HENSHAW CR,1983-07-19,10:10:00,1983-07-19,Unfiltered,0.04,mg/L
18463,186319722,0130083,BUTTLE LK #3 MID LAKE OFF HENSHAW CR,1983-07-19,10:30:00,1983-07-19,Unfiltered,0.03,mg/L
18463,186319722,0130083,BUTTLE LK #3 MID LAKE OFF HENSHAW CR,1983-07-19,10:30:00,1983-07-19,Unfiltered,0.03,mg/L
45678,190773689,0130083,BUTTLE LK #3 MID LAKE OFF HENSHAW CR,1983-07-19,10:20:00,1983-07-19,Unfiltered,0.06,mg/L
1353,183516553,0130084,BUTTLE LK AT RALPH R NARROWS,1983-07-19,11:30:00,1983-07-19,Unfiltered,0.04,mg/L
4971,184099984,0130084,BUTTLE LK AT RALPH R NARROWS,1983-07-19,11:10:00,1983-07-19,Unfiltered,0.09,mg/L
4971,184099984,0130084,BUTTLE LK AT RALPH R NARROWS,1983-07-19,11:10:00,1983-07-19,Unfiltered,0.09,mg/L
45790,190792907,0130084,BUTTLE LK AT RALPH R NARROWS,1983-07-19,11:00:00,1983-07-19,Unfiltered,0.05,mg/L
45790,190792907,0130084,BUTTLE LK AT RALPH R NARROWS,1983-07-19,11:00:00,1983-07-19,Unfiltered,0.05,mg/L
47212,191025533,0130084,BUTTLE LK AT RALPH R NARROWS,1983-07-19,11:40:00,1983-07-19,Unfiltered,0.04,mg/L
47212,191025533,0130084,BUTTLE LK AT RALPH R NARROWS,1983-07-19,11:40:00,1983-07-19,Unfiltered,0.04,mg/L
47739,191105392,0130084,BUTTLE LK AT RALPH R NARROWS,1983-07-19,11:20:00,1983-07-19,Unfiltered,0.08,mg/L
50390,191536307,0130088,BUTTLE LK #7 27.8 KM N OF SOUTH END OF LAKE,1981-05-13,11:00:00,1981-05-13,Unfiltered,0.06,mg/L
34348,188928652,0130088,BUTTLE LK #7 27.8 KM N OF SOUTH END OF LAKE,1981-05-13,11:00:00,1981-05-13,Unfiltered,0.09,mg/L
40542,189939557,0130088,BUTTLE LK #7 27.8 KM N OF SOUTH END OF LAKE,1981-09-08,00:00:00,1981-09-08,Unfiltered,0.02,mg/L
36246,189241073,0130088,BUTTLE LK #7 27.8 KM N OF SOUTH END OF LAKE,1981-09-08,00:00:00,1981-09-08,Unfiltered,0.01,mg/L
13564,185523599,0130088,BUTTLE LK #7 27.8 KM N OF SOUTH END OF LAKE,1981-10-21,00:00:00,1981-10-21,Unfiltered,0.02,mg/L
46344,190880127,0130088,BUTTLE LK #7 27.8 KM N OF SOUTH END OF LAKE,1981-10-21,00:00:00,1981-10-21,Unfiltered,0.02,mg/L
39561,189778629,0130088,BUTTLE LK #7 27.8 KM N OF SOUTH END OF LAKE,1981-11-18,00:00:00,1981-11-18,Unfiltered,0.05,mg/L
31226,188405761,0130088,BUTTLE LK #7 27.8 KM N OF SOUTH END OF LAKE,1981-11-18,00:00:00,1981-11-18,Unfiltered,0.04,mg/L
42546,190269433,0130088,BUTTLE LK #7 27.8 KM N OF SOUTH END OF LAKE,1982-02-15,00:00:00,1982-02-15,Unfiltered,0.13,mg/L
33690,188821945,0130088,BUTTLE LK #7 27.8 KM N OF SOUTH END OF LAKE,1982-02-15,00:00:00,1982-02-15,Unfiltered,0.03,mg/L
50443,191544932,0130090,BUTTLE LK #5 (PE06858); OFF RALPH R.BOAT RAMP,1981-05-13,10:00:00,1981-05-13,Unfiltered,0.03,mg/L
48555,191241940,0130090,BUTTLE LK #5 (PE06858); OFF RALPH R.BOAT RAMP,1981-05-13,10:00:00,1981-05-13,Unfiltered,0.01,mg/L
39096,189705920,0130090,BUTTLE LK #5 (PE06858); OFF RALPH R.BOAT RAMP,1981-06-10,00:00:00,1981-06-10,Unfiltered,0.01,mg/L
19133,186431413,0130090,BUTTLE LK #5 (PE06858); OFF RALPH R.BOAT RAMP,1981-06-10,00:00:00,1981-06-10,Unfiltered,0.01,mg/L
39231,189726740,0130090,BUTTLE LK #5 (PE06858); OFF RALPH R.BOAT RAMP,1981-08-12,00:00:00,1981-08-12,Unfiltered,0.03,mg/L
38065,189536889,0130090,BUTTLE LK #5 (PE06858); OFF RALPH R.BOAT RAMP,1981-08-12,00:00:00,1981-08-12,Unfiltered,0.02,mg/L
324,183352203,0130090,BUTTLE LK #5 (PE06858); OFF RALPH R.BOAT RAMP,1981-09-08,00:00:00,1981-09-08,Unfiltered,0.03,mg/L
16476,185992998,0130090,BUTTLE LK #5 (PE06858); OFF RALPH R.BOAT RAMP,1981-09-08,00:00:00,1981-09-08,Unfiltered,0.04,mg/L
39193,189720126,0130090,BUTTLE LK #5 (PE06858); OFF RALPH R.BOAT RAMP,1981-10-21,00:00:00,1981-10-21,Unfiltered,0.02,mg/L
269,183342199,0130090,BUTTLE LK #5 (PE06858); OFF RALPH R.BOAT RAMP,1981-10-21,00:00:00,1981-10-21,Unfiltered,0.03,mg/L
25918,187521395,0130090,BUTTLE LK #5 (PE06858); OFF RALPH R.BOAT RAMP,1981-11-18,00:00:00,1981-11-18,Unfiltered,0.02,mg/L
32082,188553386,0130090,BUTTLE LK #5 (PE06858); OFF RALPH R.BOAT RAMP,1981-11-18,00:00:00,1981-11-18,Unfiltered,0.04,mg/L
35531,189126741,0130090,BUTTLE LK #5 (PE06858); OFF RALPH R.BOAT RAMP,1982-02-15,00:00:00,1982-02-15,Unfiltered,0.16,mg/L
40067,189862240,0130090,BUTTLE LK #5 (PE06858); OFF RALPH R.BOAT RAMP,1982-02-15,00:00:00,1982-02-15,Unfiltered,0.06,mg/L
18269,186289603,0130090,BUTTLE LK #5 (PE06858); OFF RALPH R.BOAT RAMP,1983-07-19,12:00:00,1983-07-19,Unfiltered,0.04,mg/L
16755,186040241,0130090,BUTTLE LK #5 (PE06858); OFF RALPH R.BOAT RAMP,1983-07-19,12:10:00,1983-07-19,Unfiltered,0.03,mg/L
16755,186040241,0130090,BUTTLE LK #5 (PE06858); OFF RALPH R.BOAT RAMP,1983-07-19,12:10:00,1983-07-19,Unfiltered,0.03,mg/L
18003,186249878,0130090,BUTTLE LK #5 (PE06858); OFF RALPH R.BOAT RAMP,1983-07-19,12:20:00,1983-07-19,Unfiltered,0.05,mg/L
496,183379043,0130143,UPPER CAMPBELL LK OFF STRATHCONA LODGE,1981-05-13,12:00:00,1981-05-13,Unfiltered,0.04,mg/L
12068,185280035,0130143,UPPER CAMPBELL LK OFF STRATHCONA LODGE,1981-05-13,12:00:00,1981-05-13,Unfiltered,0.05,mg/L
21028,186736239,0130143,UPPER CAMPBELL LK OFF STRATHCONA LODGE,1981-08-12,00:00:00,1981-08-12,Unfiltered,0.02,mg/L
26546,187625122,0130143,UPPER CAMPBELL LK OFF STRATHCONA LODGE,1981-08-12,00:00:00,1981-08-12,Unfiltered,0.01,mg/L
14762,185724621,0130143,UPPER CAMPBELL LK OFF STRATHCONA LODGE,1981-09-08,00:00:00,1981-09-08,Unfiltered,0.01,mg/L
4492,184021744,0130143,UPPER CAMPBELL LK OFF STRATHCONA LODGE,1981-09-08,00:00:00,1981-09-08,Unfiltered,0.15,mg/L
17861,186225896,0130143,UPPER CAMPBELL LK OFF STRATHCONA LODGE,1981-10-20,00:00:00,1981-10-20,Unfiltered,0.03,mg/L
38336,189580483,0130143,UPPER CAMPBELL LK OFF STRATHCONA LODGE,1981-10-20,00:00:00,1981-10-20,Unfiltered,0.06,mg/L
12990,185431410,0130143,UPPER CAMPBELL LK OFF STRATHCONA LODGE,1981-11-18,00:00:00,1981-11-18,Unfiltered,0.07,mg/L
23035,187057523,0130143,UPPER CAMPBELL LK OFF STRATHCONA LODGE,1981-11-18,00:00:00,1981-11-18,Unfiltered,0.04,mg/L
28029,187866938,0130143,UPPER CAMPBELL LK OFF STRATHCONA LODGE,1982-02-16,00:00:00,1982-02-16,Unfiltered,0.02,mg/L
42185,190206593,0130143,UPPER CAMPBELL LK OFF STRATHCONA LODGE,1982-02-16,00:00:00,1982-02-16,Unfiltered,0.14,mg/L
534,183383952,0130261,ELK LAKE - DEEP STATION,2011-02-17,12:50:00,2011-02-17,Unfiltered,0.275,mg/L
8730,184719716,0130261,ELK LAKE - DEEP STATION,2011-02-17,12:45:00,2011-02-17,Unfiltered,0.404,mg/L
8730,184719716,0130261,ELK LAKE - DEEP STATION,2011-02-17,12:45:00,2011-02-17,Unfiltered,0.404,mg/L
44799,190638068,0130261,ELK LAKE - DEEP STATION,2011-02-17,12:55:00,2011-02-17,Unfiltered,0.207,mg/L
2849,183760304,0130355,FLORENCE LAKE - DEEP STATION,2005-03-15,12:00:00,2005-03-15,Unfiltered,0.35,mg/L
8446,184667073,0130355,FLORENCE LAKE - DEEP STATION,2005-03-15,12:05:00,2005-03-15,Unfiltered,0.83,mg/L
38297,189573861,0130355,FLORENCE LAKE - DEEP STATION,2006-05-11,11:15:00,2006-05-11,Unfiltered,0.33,mg/L
22164,186915629,0130355,FLORENCE LAKE - DEEP STATION,2006-05-11,11:00:00,2006-05-11,Unfiltered,0.37,mg/L
13660,185542600,0130355,FLORENCE LAKE - DEEP STATION,2006-08-16,14:10:00,2006-08-16,Unfiltered,0.38,mg/L
14612,185700237,0130355,FLORENCE LAKE - DEEP STATION,2006-08-16,14:00:00,2006-08-16,Unfiltered,0.34,mg/L
2620,183724687,0130355,FLORENCE LAKE - DEEP STATION,2007-03-06,09:40:00,2007-03-06,Unfiltered,0.25,mg/L
35353,189094113,0130355,FLORENCE LAKE - DEEP STATION,2007-03-06,09:50:00,2007-03-06,Unfiltered,0.26,mg/L
35353,189094113,0130355,FLORENCE LAKE - DEEP STATION,2007-03-06,09:50:00,2007-03-06,Unfiltered,0.26,mg/L
25958,187527164,0130355,FLORENCE LAKE - DEEP STATION,2007-03-06,09:30:00,2007-03-06,Unfiltered,0.25,mg/L
37231,189403045,0130355,FLORENCE LAKE - DEEP STATION,2007-10-25,12:15:00,2007-10-25,Unfiltered,0.28,mg/L
20519,186659792,0130355,FLORENCE LAKE - DEEP STATION,2007-10-25,12:10:00,2007-10-25,Unfiltered,0.33,mg/L
38785,189654731,0130355,FLORENCE LAKE - DEEP STATION,2008-03-25,12:20:00,2008-03-25,Unfiltered,0.17,mg/L
13393,185496701,0130355,FLORENCE LAKE - DEEP STATION,2008-03-25,12:40:00,2008-03-25,Unfiltered,0.22,mg/L
2055,183627736,0130355,FLORENCE LAKE - DEEP STATION,2008-05-29,14:15:00,2008-05-29,Unfiltered,0.2,mg/L
35897,189183854,0130355,FLORENCE LAKE - DEEP STATION,2008-05-29,14:20:00,2008-05-29,Unfiltered,0.19,mg/L
18095,186264543,0130355,FLORENCE LAKE - DEEP STATION,2008-06-24,14:45:00,2008-06-24,Unfiltered,0.26,mg/L
47225,191027338,0130355,FLORENCE LAKE - DEEP STATION,2008-06-24,14:40:00,2008-06-24,Unfiltered,0.2,mg/L
13967,185591318,0130355,FLORENCE LAKE - DEEP STATION,2008-07-23,13:40:00,2008-07-23,Unfiltered,0.3,mg/L
10396,185003668,0130355,FLORENCE LAKE - DEEP STATION,2008-07-23,13:40:00,2008-07-23,Unfiltered,0.36,mg/L
8052,184598919,0130355,FLORENCE LAKE - DEEP STATION,2008-08-13,00:00:00,2008-08-13,Unfiltered,0.29,mg/L
5589,184196755,0130355,FLORENCE LAKE - DEEP STATION,2008-08-13,00:00:00,2008-08-13,Unfiltered,0.29,mg/L
15025,185770210,0130355,FLORENCE LAKE - DEEP STATION,2008-08-21,09:05:00,2008-08-21,Unfiltered,0.27,mg/L
16739,186038319,0130355,FLORENCE LAKE - DEEP STATION,2008-08-21,09:00:00,2008-08-21,Unfiltered,0.31,mg/L
3023,183788017,0130355,FLORENCE LAKE - DEEP STATION,2008-09-17,12:35:00,2008-09-17,Unfiltered,0.27,mg/L
43486,190426720,0130355,FLORENCE LAKE - DEEP STATION,2008-09-17,12:30:00,2008-09-17,Unfiltered,0.31,mg/L
30109,188216190,0130355,FLORENCE LAKE - DEEP STATION,2008-11-18,00:00:00,2008-11-18,Unfiltered,0.28,mg/L
38150,189551786,0130355,FLORENCE LAKE - DEEP STATION,2008-11-18,00:00:00,2008-11-18,Unfiltered,0.22,mg/L
35296,189087432,0130355,FLORENCE LAKE - DEEP STATION,2009-03-23,00:00:00,2009-03-23,Unfiltered,0.28,mg/L
23660,187155053,0130355,FLORENCE LAKE - DEEP STATION,2009-03-23,00:00:00,2009-03-23,Unfiltered,0.28,mg/L
31860,188511916,0130355,FLORENCE LAKE - DEEP STATION,2012-02-16,13:40:00,2012-02-16,Unfiltered,0.2,mg/L
44422,190574032,0130355,FLORENCE LAKE - DEEP STATION,2012-02-16,13:45:00,2012-02-16,Unfiltered,0.22,mg/L
13313,185482421,0130355,FLORENCE LAKE - DEEP STATION,2015-02-24,08:50:00,2015-02-24,Unfiltered,0.208,mg/L
3761,183904756,0130355,FLORENCE LAKE - DEEP STATION,2015-02-24,08:45:00,2015-02-24,Unfiltered,0.235,mg/L
15401,185823454,0200003,COLUMBIA RIVER @ BIRCHBANK,2009-09-16,11:20:00,2009-09-16,Unfiltered,0.08,mg/L
44518,190589842,0200003,COLUMBIA RIVER @ BIRCHBANK,2009-09-16,11:20:00,2009-09-16,Filtered,0.09,mg/L
1002,183461239,0200003,COLUMBIA RIVER @ BIRCHBANK,2015-06-02,11:20:00,2015-06-02,Filtered,0.056,mg/L
14342,185654858,0200003,COLUMBIA RIVER @ BIRCHBANK,2015-06-02,11:20:00,2015-06-02,Unfiltered,0.055,mg/L
20060,186590031,0200003,COLUMBIA RIVER @ BIRCHBANK,2015-06-16,00:00:00,2015-06-16,Filtered,0.069,mg/L
26541,187624322,0200003,COLUMBIA RIVER @ BIRCHBANK,2015-06-16,00:00:00,2015-06-16,Unfiltered,0.075,mg/L
27266,187739747,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-04-11,12:52:00,2016-04-11,Filtered,0.06,mg/L
29358,188092097,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-04-11,12:52:00,2016-04-11,Unfiltered,0.053,mg/L
50963,191627192,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-04-26,10:50:00,2016-04-26,Filtered,0.068,mg/L
652,183402717,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-04-26,10:50:00,2016-04-26,Unfiltered,0.065,mg/L
48112,191169666,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-05-10,10:00:00,2016-05-10,Filtered,0.066,mg/L
12239,185311147,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-05-10,10:00:00,2016-05-10,Unfiltered,0.06,mg/L
50878,191615490,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-06-08,10:42:00,2016-06-08,Filtered,0.055,mg/L
44463,190581144,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-06-08,10:42:00,2016-06-08,Unfiltered,0.059,mg/L
3569,183874282,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-06-22,11:30:00,2016-06-22,Unfiltered,0.056,mg/L
21933,186880922,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-06-22,11:30:00,2016-06-22,Filtered,0.076,mg/L
44567,190598168,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-08-02,09:57:00,2016-08-02,Unfiltered,0.062,mg/L
6278,184306675,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-08-02,09:57:00,2016-08-02,Filtered,0.063,mg/L
4485,184020998,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-08-15,08:30:00,2016-08-15,Filtered,0.067,mg/L
36327,189255701,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-08-15,08:30:00,2016-08-15,Unfiltered,0.063,mg/L
48612,191251516,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-08-30,09:13:00,2016-08-30,Filtered,0.088,mg/L
9948,184924699,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-08-30,09:13:00,2016-08-30,Unfiltered,0.056,mg/L
41281,190058234,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-09-27,09:50:00,2016-09-27,Filtered,0.054,mg/L
33477,188785333,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-09-27,09:50:00,2016-09-27,Unfiltered,0.052,mg/L
45845,190800305,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-10-19,09:56:00,2016-10-19,Filtered,0.072,mg/L
48066,191162501,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-10-19,09:56:00,2016-10-19,Unfiltered,0.058,mg/L
44841,190644683,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-10-26,09:20:00,2016-10-26,Unfiltered,0.07,mg/L
25199,187408989,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-10-26,09:15:00,2016-10-26,Unfiltered,0.082,mg/L
35430,189108527,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-11-07,09:45:00,2016-11-07,Filtered,0.051,mg/L
42822,190316565,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-11-07,09:45:00,2016-11-07,Unfiltered,0.066,mg/L
23759,187171007,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-11-23,13:40:00,2016-11-23,Unfiltered,0.058,mg/L
47384,191049824,0200003,COLUMBIA RIVER @ BIRCHBANK,2016-11-23,13:45:00,2016-11-23,Unfiltered,0.054,mg/L
11629,185206010,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-05-01,10:10:00,2017-05-01,Unfiltered,0.066,mg/L
17083,186092491,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-05-01,10:10:00,2017-05-01,Filtered,0.056,mg/L
44761,190632664,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-05-24,09:55:00,2017-05-24,Unfiltered,0.08,mg/L
31435,188436968,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-05-24,09:55:00,2017-05-24,Filtered,0.063,mg/L
16852,186054679,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-05-31,12:55:00,2017-05-31,Filtered,0.095,mg/L
45226,190701115,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-05-31,12:55:00,2017-05-31,Unfiltered,0.079,mg/L
14316,185651848,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-06-15,08:55:00,2017-06-15,Filtered,0.063,mg/L
2974,183780787,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-06-15,08:55:00,2017-06-15,Unfiltered,0.092,mg/L
7310,184474182,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-06-27,11:28:00,2017-06-27,Filtered,0.079,mg/L
10413,185005679,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-06-27,11:33:00,2017-06-27,Unfiltered,0.091,mg/L
10413,185005679,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-06-27,11:33:00,2017-06-27,Unfiltered,0.091,mg/L
15774,185886171,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-06-27,11:33:00,2017-06-27,Filtered,0.069,mg/L
15774,185886171,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-06-27,11:33:00,2017-06-27,Filtered,0.069,mg/L
29034,188035893,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-06-27,11:28:00,2017-06-27,Unfiltered,0.111,mg/L
23762,187171719,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-07-25,11:40:00,2017-07-25,Filtered,0.063,mg/L
27897,187847880,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-07-25,11:40:00,2017-07-25,Unfiltered,0.111,mg/L
4088,183958465,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-08-08,11:50:00,2017-08-08,Unfiltered,0.084,mg/L
29335,188087507,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-08-08,11:50:00,2017-08-08,Filtered,0.089,mg/L
20436,186647590,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-08-21,08:45:00,2017-08-21,Unfiltered,0.08,mg/L
4161,183971272,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-08-21,08:45:00,2017-08-21,Filtered,0.055,mg/L
30822,188338132,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-09-06,08:50:00,2017-09-06,Unfiltered,0.077,mg/L
23356,187106869,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-09-06,08:50:00,2017-09-06,Filtered,0.061,mg/L
44914,190655483,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-10-04,10:00:00,2017-10-04,Filtered,0.058,mg/L
13808,185568869,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-10-04,10:00:00,2017-10-04,Unfiltered,0.09,mg/L
45464,190740293,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-10-18,10:35:00,2017-10-18,Unfiltered,0.058,mg/L
40245,189893848,0200003,COLUMBIA RIVER @ BIRCHBANK,2017-10-18,10:42:00,2017-10-18,Unfiltered,0.059,mg/L
43033,190350002,0200003,COLUMBIA RIVER @ BIRCHBANK,2018-05-23,10:10:00,2018-05-23,Unfiltered,0.081,mg/L
27325,187749367,0200003,COLUMBIA RIVER @ BIRCHBANK,2018-05-23,10:10:00,2018-05-23,Filtered,0.088,mg/L
7547,184518167,0200003,COLUMBIA RIVER @ BIRCHBANK,2018-06-06,10:10:00,2018-06-06,Unfiltered,0.074,mg/L
3763,183905228,0200003,COLUMBIA RIVER @ BIRCHBANK,2018-06-06,10:10:00,2018-06-06,Filtered,0.052,mg/L
7581,184523533,0200003,COLUMBIA RIVER @ BIRCHBANK,2018-06-21,10:00:00,2018-06-21,Unfiltered,0.089,mg/L
6977,184418132,0200003,COLUMBIA RIVER @ BIRCHBANK,2018-06-21,10:15:00,2018-06-21,Unfiltered,0.077,mg/L
6977,184418132,0200003,COLUMBIA RIVER @ BIRCHBANK,2018-06-21,10:15:00,2018-06-21,Unfiltered,0.077,mg/L
45758,190787978,0200003,COLUMBIA RIVER @ BIRCHBANK,2018-06-21,10:15:00,2018-06-21,Filtered,0.062,mg/L
17998,186248613,0200003,COLUMBIA RIVER @ BIRCHBANK,2018-07-30,10:30:00,2018-07-30,Filtered,0.138,mg/L
39576,189781600,0200003,COLUMBIA RIVER @ BIRCHBANK,2018-07-30,10:30:00,2018-07-30,Unfiltered,0.138,mg/L
12260,185314695,0200003,COLUMBIA RIVER @ BIRCHBANK,2018-08-15,00:00:00,2018-08-15,Unfiltered,0.095,mg/L
5748,184221325,0200003,COLUMBIA RIVER @ BIRCHBANK,2018-08-15,00:00:00,2018-08-15,Filtered,0.051,mg/L
